Percentage served,Time in ms
0,184.266
1,199.359
2,210.011
3,228.738
4,240.651
5,246.935
6,250.167
7,254.187
8,258.471
9,263.958
10,268.094
11,273.846
12,280.390
13,284.645
14,293.474
15,304.688
16,310.625
17,313.760
18,319.321
19,328.345
20,333.699
21,343.967
22,358.116
23,360.504
24,365.847
25,374.230
26,383.066
27,387.480
28,391.971
29,400.782
30,405.857
31,421.247
32,444.078
33,455.883
34,497.601
35,715.810
36,843.943
37,930.724
38,995.337
39,1071.659
40,1103.395
41,1150.006
42,1214.178
43,1253.082
44,1278.783
45,1323.136
46,1414.814
47,1510.394
48,1681.696
49,1855.998
50,2030.838
51,2195.994
52,2349.293
53,2521.714
54,2648.579
55,2930.049
56,3219.615
57,3456.790
58,4654.116
59,5970.924
60,6481.169
61,6795.116
62,7264.319
63,7760.726
64,8211.670
65,8539.408
66,9255.413
67,9680.859
68,9913.182
69,9959.680
70,9976.624
71,10002.073
72,10096.576
73,10238.183
74,10334.488
75,10375.418
76,10420.043
77,10494.927
78,10553.654
79,10603.383
80,10659.199
81,10698.152
82,10723.499
83,10744.404
84,10798.538
85,10857.346
86,10897.091
87,10952.729
88,11014.832
89,11057.353
90,11163.075
91,11558.340
92,11725.426
93,11751.188
94,11830.847
95,11940.689
96,12107.842
97,12367.499
98,12584.576
99,12936.631
