Percentage served,Time in ms
0,57.012
1,65.861
2,70.155
3,73.278
4,78.774
5,85.695
6,96.265
7,104.612
8,117.462
9,129.560
10,139.171
11,147.244
12,153.403
13,162.561
14,176.921
15,192.772
16,212.287
17,226.392
18,248.138
19,280.054
20,311.809
21,328.764
22,343.059
23,356.532
24,379.866
25,402.229
26,412.615
27,423.372
28,434.069
29,443.616
30,450.929
31,460.562
32,476.769
33,495.982
34,531.070
35,547.405
36,565.100
37,595.106
38,610.403
39,626.579
40,639.946
41,651.500
42,664.865
43,675.250
44,686.652
45,698.388
46,712.450
47,724.603
48,734.071
49,742.015
50,751.422
51,758.746
52,766.214
53,775.088
54,781.933
55,791.188
56,801.192
57,817.166
58,839.381
59,854.616
60,864.600
61,873.196
62,881.499
63,895.984
64,914.684
65,959.531
66,977.419
67,1008.786
68,1021.873
69,1035.701
70,1053.580
71,1073.314
72,1082.020
73,1106.281
74,1132.987
75,1145.217
76,1165.952
77,1191.463
78,1218.687
79,1249.837
80,1266.508
81,1311.195
82,1360.388
83,1428.400
84,1510.043
85,2455.106
86,2804.223
87,3123.568
88,3708.651
89,4641.989
90,5519.612
91,5924.809
92,6266.338
93,6847.899
94,7430.330
95,7678.041
96,7786.434
97,8145.194
98,8723.158
99,9223.602
