Percentage served,Time in ms
0,60.761
1,222.234
2,229.985
3,244.358
4,258.315
5,267.193
6,275.221
7,288.054
8,294.560
9,304.005
10,311.366
11,316.522
12,323.187
13,328.668
14,337.241
15,342.660
16,348.516
17,355.059
18,361.163
19,373.769
20,378.723
21,388.919
22,402.630
23,409.397
24,416.638
25,429.542
26,439.014
27,449.626
28,454.803
29,464.343
30,467.270
31,470.041
32,476.964
33,488.732
34,509.516
35,521.926
36,530.491
37,536.283
38,541.188
39,546.886
40,550.762
41,554.132
42,558.903
43,565.290
44,570.459
45,577.802
46,582.322
47,588.952
48,591.812
49,595.708
50,598.346
51,602.529
52,608.637
53,609.820
54,614.203
55,616.915
56,622.021
57,623.304
58,625.760
59,627.309
60,628.674
61,630.989
62,634.680
63,635.545
64,638.670
65,640.535
66,643.975
67,647.971
68,652.505
69,654.949
70,660.540
71,667.799
72,676.446
73,683.326
74,695.295
75,717.401
76,740.158
77,810.589
78,901.647
79,1046.343
80,1228.382
81,1403.844
82,1664.407
83,2004.911
84,2334.292
85,2925.244
86,3324.528
87,3743.215
88,4252.537
89,4756.722
90,5116.657
91,5530.275
92,6323.351
93,6467.653
94,6542.373
95,6728.751
96,6974.516
97,7204.257
98,7423.582
99,7680.487
