Percentage served,Time in ms
0,76.547
1,103.017
2,112.277
3,129.020
4,172.030
5,199.280
6,222.281
7,272.071
8,312.163
9,383.763
10,462.160
11,508.986
12,562.003
13,616.931
14,698.526
15,748.165
16,783.121
17,822.784
18,858.713
19,939.971
20,1252.457
21,1475.992
22,1546.144
23,1636.639
24,1842.983
25,1936.458
26,2220.855
27,2380.509
28,3414.391
29,3459.133
30,3539.825
31,3712.884
32,3858.815
33,3977.869
34,4196.326
35,4408.310
36,4707.881
37,4860.306
38,5030.259
39,5904.694
40,6245.918
41,6391.416
42,6457.186
43,6548.207
44,6665.664
45,6769.707
46,6836.167
47,6927.090
48,7042.313
49,7050.578
50,7068.287
51,7072.920
52,7075.168
53,7124.455
54,7128.144
55,7129.010
56,7133.510
57,7144.828
58,7223.035
59,7360.783
60,7439.082
61,7525.660
62,7558.713
63,7606.830
64,7703.784
65,7836.098
66,8046.508
67,8175.119
68,8241.309
69,8356.900
70,8430.932
71,8604.723
72,8687.426
73,8729.755
74,8806.428
75,8892.174
76,9064.319
77,9282.595
78,9382.811
79,9696.714
80,10068.523
81,10268.524
82,10405.328
83,10560.132
84,10698.619
85,10824.872
86,10956.440
87,11102.849
88,11230.912
89,11387.367
90,11542.067
91,11963.660
92,12174.162
93,12350.774
94,12715.046
95,12937.704
96,13079.325
97,13218.313
98,13373.695
99,13518.783
