Percentage served,Time in ms
0,82.573
1,206.621
2,240.036
3,288.855
4,310.227
5,339.865
6,411.210
7,594.435
8,675.991
9,763.795
10,838.564
11,851.661
12,861.798
13,877.418
14,883.688
15,894.821
16,904.820
17,931.303
18,953.041
19,971.361
20,990.086
21,1000.465
22,1008.227
23,1014.481
24,1019.624
25,1025.317
26,1035.617
27,1047.869
28,1053.901
29,1063.563
30,1074.725
31,1083.522
32,1091.766
33,1096.796
34,1100.299
35,1109.750
36,1121.002
37,1126.292
38,1132.261
39,1138.864
40,1144.428
41,1147.439
42,1156.632
43,1165.389
44,1173.133
45,1183.514
46,1194.610
47,1205.925
48,1215.417
49,1222.183
50,1232.193
51,1242.316
52,1248.662
53,1255.134
54,1267.275
55,1272.516
56,1279.388
57,1282.954
58,1292.559
59,1308.934
60,1329.984
61,1341.559
62,1348.357
63,1384.229
64,1405.589
65,1413.380
66,1449.493
67,1465.945
68,1476.527
69,1490.256
70,1515.109
71,1580.110
72,1909.283
73,2058.817
74,2201.122
75,2300.792
76,2502.984
77,2987.823
78,3519.380
79,3895.148
80,4131.661
81,4254.406
82,4732.162
83,5108.851
84,5405.041
85,6148.565
86,6518.505
87,6971.067
88,7452.182
89,7953.511
90,8191.865
91,8818.245
92,9215.123
93,9464.675
94,9561.565
95,9842.696
96,10037.486
97,10303.951
98,12544.546
99,13154.356
