Percentage served,Time in ms
0,58.563
1,75.776
2,164.594
3,261.724
4,292.753
5,299.065
6,304.790
7,311.590
8,320.248
9,326.472
10,331.305
11,337.662
12,342.607
13,346.692
14,358.619
15,375.171
16,392.317
17,412.193
18,429.424
19,479.418
20,545.408
21,606.018
22,679.739
23,773.168
24,855.399
25,951.455
26,1050.608
27,1130.351
28,1305.644
29,1542.942
30,1577.709
31,1631.789
32,1801.705
33,1945.010
34,2086.484
35,2243.467
36,2364.185
37,2517.975
38,2692.953
39,2805.711
40,3160.727
41,3613.283
42,3803.825
43,3994.788
44,4222.687
45,4746.667
46,5477.154
47,6439.325
48,6913.048
49,7376.106
50,7517.181
51,7626.321
52,7763.051
53,8019.678
54,8115.480
55,8226.344
56,8307.638
57,8383.902
58,8461.491
59,8539.087
60,8610.684
61,8669.112
62,8725.728
63,8795.397
64,8820.324
65,8881.505
66,8934.727
67,8992.040
68,9061.644
69,9126.721
70,9187.284
71,9275.262
72,9367.296
73,9471.621
74,9574.034
75,9669.694
76,9729.311
77,9763.142
78,9852.728
79,9923.954
80,10020.013
81,10114.673
82,10224.690
83,10394.550
84,10689.695
85,10840.974
86,11430.207
87,11810.597
88,12081.172
89,12284.224
90,12429.497
91,12751.725
92,13158.419
93,13376.149
94,13574.456
95,13919.415
96,14115.381
97,14749.322
98,14893.097
99,15064.184
